"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Корзина товаров","добавления товара в корзину","0","0","1","0","0"
"","Корзина товаров","удаления товара из корзины","0","0","1","0","0"
"","Сортировка товаров","сортировка товаров по цене от низкой к высокой","0","0","1","0","0"
"","Карточка товара","Просмотр деталей товара","0","0","1","0","0"
"","Оформление заказа","Успешное оформление заказа","0","0","1","0","0"
"","Оформление заказа","Неуспешное оформление заказа с пустым почтовым индексом","0","0","1","0","0"
"","После авторизации","Выход из аккаунта","0","0","1","0","0"
"","Сортировка товаров","сортировка товаров по цене от высокой к низкой","0","0","1","0","0"
"","Корзина товаров","Индикатор количества товаров в корзине","0","0","1","0","0"
"","Окно авторизации","Неуспешная авторизация с пустым паролем","0","0","1","0","0"
"","Окно авторизации","Неуспешная авторизация с пустым логином","0","0","1","0","0"
"","Окно авторизации","Закрытие окна с ошибкой","0","0","1","0","0"
"","Окно авторизации","Успешная авторизация","0","0","1","0","0"
"","Оформление заказа","Отмена оформления заказа","0","0","1","0","0"
"","Окно авторизации","Неуспешная авторизация","0","0","2","0","0"
"","Оформление заказа","Неуспешное оформление заказа с пустыми полями","0","0","1","0","0"
"","Карточка товара","Возврат на страницу с товарами","0","0","1","0","0"
"","Сортировка товаров","сортировка товаров по названию от А до Я","0","0","1","0","0"
"","Сортировка товаров","сортировка товаров по названию от Я до А","0","0","1","0","0"
"","Оформление заказа","Неуспешное оформление заказа с пустым именем","0","0","1","0","0"
